id,title,safety_score,published,canonical_url,safety_reasons
doc-246d95b52513,사우디 · 생성형 AI Engineering Design,-1,2026-08-28,https://www.swa.gov.sa/en/,-oecd-only
doc-cbc93e02eaee,사우디 · Estishraf,1,2026-08-28,https://sdaia.gov.sa/en/Services/Pages/FreeServicesAndPrograms.aspx,-oecd-only;+oversight|감독|감사|audit|evalua
doc-f29e2caa1bd8,독일 · 전략 Use AI Judiciary,-1,2026-08-21,https://api.oecdai.org/storage/policy-initiatives/Aug2026/117ojp1rjqpmt2x0vdw-BMJV%20strategy%20AI%20in%20the%20judiciary-2025_KI_Strategie.pdf,-oecd-only
doc-e881335e8400,High-Tech Agenda 독일 – 로드맵 AI,1,2026-08-21,https://hightech-agenda-deutschland.de/roadmaps/kuenstliche-intelligenz/,-oecd-only;+guideline|가이드라인|지침|(?<![a-z]
doc-6ce22b33d31c,호주 · Document Register Agent,-1,2026-08-17,https://oecd.ai/en/dashboards/policy-initiatives/document-register-agent,-oecd-only
doc-5bc88eec35ba,호주 · Microsoft 365 Copilot Trial,1,2026-08-14,https://www.digital.gov.au/initiatives/copilot-trial,-oecd-only;+oversight|감독|감사|audit|evalua;+licen[cs]|면허|등록\s*의무|provide;-adopt(ion)?\b|도입\s*가속|활용\s*촉
doc-eefdd5bd30cf,호주 · farmpredict,-1,2026-08-13,https://www.agriculture.gov.au/abares/research-topics/climate/drought/farmpredict,-oecd-only
doc-0cd9ef79cc4a,사우디 · Social Media Analytics Water Sector Issues,1,2026-08-06,https://api.oecdai.org/storage/policy-initiatives/Aug2026/117ojp1rjqpmshj8hag-social-media-analytics.pdf,-oecd-only;+transpar|투명|explainab|설명\s*가
doc-9bed576a11c1,사우디 · H2O AI Assistant Water Sector,2,2026-08-06,https://api.oecdai.org/storage/policy-initiatives/Aug2026/117ojp1rjqpmshitbju-h2o-ai-assistant-overview.pdf,-oecd-only;+regulat|규제
doc-31723abca0ed,브라질 · GaIA: 생성형 AI Judicial Intellectual Identity · Strategic Appellate Judgments (Subnational: Porto Velho),-1,2026-08-06,https://api.oecdai.org/storage/policy-initiatives/Aug2026/117ojp1rjqpmshh45ru-gaia-system-act-portuguese.pdf,-oecd-only
doc-2153bf16b3c8,브라질 · Ulysses – Smart analysis e-Polls,-1,2026-08-05,https://www.camara.leg.br/noticias/1232322-camara-lanca-nova-fase-do-programa-ulysses-e-politicas-de-governanca-em-inteligencia-artificial,-oecd-only
doc-7acb87e47698,캄보디아 · Data EF AI Agent,-1,2026-08-05,https://data-analytic.mef.gov.kh/,-oecd-only
doc-c9f1d62a692e,보건의료데이터 활용 가이드라인,7,2026-08-04,https://iaae.ai/research/?bmode=view&idx=172866259,+iaae;+guideline|가이드라인|지침|(?<![a-z];+principle|원칙|권고|recommendati;-no-ai
doc-a6f2cb9bcb4d,가명정보 처리 가이드라인,7,2026-08-04,https://iaae.ai/research/?bmode=view&idx=172866208,+iaae;+guideline|가이드라인|지침|(?<![a-z];+privacy|개인정보|data\s*protecti;-no-ai;-bare-institution
doc-4d937cd6627c,브라질 · GOV.BR Chatbot,1,2026-08-04,https://www.gov.br/gestao/pt-br/assuntos/noticias/2026/janeiro/governo-do-brasil-orienta-estudantes-sobre-resultado-do-enem-pela-caixa-postal-gov.br,-oecd-only;+guideline|가이드라인|지침|(?<![a-z]
doc-72cd786b8e6c,이탈리아 · AI Chatbot Statistical Analyses Fiscal Data,1,2026-08-04,https://oecd.ai/en/dashboards/policy-initiatives/ai-chatbot-for-statistical-analyses-of-fiscal-data,-oecd-only;+transpar|투명|explainab|설명\s*가
